name_full,IronMan_Rank,Good_IronMan_Rank,team,pos,ADP,Good_IronMan_Score,IronMan_Score,DurabilityZ,ProductionZ,EfficiencyZ,MinutesZ,ValueZ,GP,MIN,Weighted_GP,GP_Median,Durability_Composite,Durability_Penalty,Seasons_Used,PTS_PG,REB_PG,AST_PG,STL_PG,BLK_PG,FG3M_PG,FG3_PCT,FT_PCT,TOV_PG,DD2_PG
Jayson Tatum,1,6,BOS,"SF,PF",132.3,1.2430702528925508,1.3790568868027995,1.3260547059885455,1.9561078097366986,-0.34897376698773497,1.7870780785748448,1.02498764888369,72,2623.8166666666666,72.80000000000001,74.0,73.11555555555556,0.04444444444444445,"2024-25,2023-24,2022-23",26.833333333333332,8.652777777777779,5.986111111111111,1.0555555555555556,0.5277777777777778,3.4722222222222223,0.343,0.814,2.9027777777777777,0.4305555555555556
Nikola Jokić,2,1,DEN,C,2.5,1.7142677265212682,1.2986510667803701,1.229291674888257,3.0936393292638598,-0.07452337569789236,1.8165109564759605,1.6288439572340996,70,2570.765,72.60000000000002,70.0,70.80888888888892,1.011111111111111,"2024-25,2023-24,2022-23",29.585714285714285,12.742857142857142,10.228571428571428,1.8142857142857143,0.6428571428571429,1.9714285714285715,0.417,0.8,3.2857142857142856,0.8428571428571429
Brook Lopez,3,20,LAC,C,135.5,1.013947438621502,1.2690803333946457,1.5861869201362895,0.7446196009096312,0.40812415101566774,1.3075330485059125,0.711866553522588,80,2546.07,79.50000000000001,79.0,79.31666666666668,0.03333333333333333,"2024-25,2023-24,2022-23",13.0125,5.0125,1.7875,0.625,1.85,1.7375,0.373,0.826,1.05,0.05
Josh Hart,4,8,NYK,"SG,SF,PF",68.9,1.1888802275048207,1.2441275222729078,1.5115171822641007,1.457507091070441,0.0063525908550198795,1.9095890316179283,0.7940052869242533,77,2896.83,78.10000000000002,77.0,77.53666666666668,0.23333333333333336,"2024-25,2023-24,2022-23",13.64935064935065,9.571428571428571,5.883116883116883,1.5454545454545454,0.35064935064935066,1.0909090909090908,0.333,0.776,2.051948051948052,0.44155844155844154
Tyrese Haliburton,5,7,IND,"PG,SG",117.0,1.201343808236251,1.2302873896077269,1.0752445564940083,1.825215995725383,0.20579793674247276,1.4884143381113175,1.1384078614753774,73,2450.391666666667,70.1,69.0,67.13666666666666,2.6333333333333333,"2024-25,2023-24,2022-23",18.616438356164384,3.5342465753424657,9.219178082191782,1.4383561643835616,0.6712328767123288,2.9863013698630136,0.388,0.851,1.643835616438356,0.4246575342465753
Mikal Bridges,6,31,NYK,"SF,PF",78.2,0.9241802334232722,1.203288924341054,1.7012211979568643,0.524527808178983,0.1694031548446658,1.8476885945327348,0.4813655829553309,82,3036.076666666667,82.10000000000001,82.0,82.05888888888889,0.011111111111111112,"2024-25,2023-24,2022-23",17.609756097560975,3.158536585365854,3.731707317073171,0.9146341463414634,0.524390243902439,2.0,0.354,0.814,1.6097560975609757,0.012195121951219513
Shai Gilgeous-Alexander,7,3,OKC,PG,4.6,1.254782299034774,1.178052869327149,1.375601479620341,1.7071286203943672,0.10845129514445279,1.5520278046061786,1.3015858514514729,76,2597.63,74.9,75.0,74.29666666666667,0.6333333333333333,"2024-25,2023-24,2022-23",32.68421052631579,4.9868421052631575,6.394736842105263,1.7236842105263157,1.013157894736842,2.1447368421052633,0.375,0.898,2.4078947368421053,0.07894736842105263
Keegan Murray,8,32,SAC,"SF,PF",113.3,0.9215571862975553,1.165808175916772,1.4741357030047402,0.6807889109150282,0.29793670364823965,1.5691737243942716,0.5585433773118834,76,2610.173333333333,76.70000000000002,77.0,76.64555555555556,0.14444444444444446,"2024-25,2023-24,2022-23",12.394736842105264,6.671052631578948,1.4342105263157894,0.8026315789473685,0.9078947368421053,2.026315789473684,0.343,0.833,0.7894736842105263,0.14473684210526316
Anthony Edwards,9,10,MIN,"PG,SG",8.0,1.1591074545578937,1.1546546377509126,1.5729029780054689,1.481675933104954,-0.3136205494313782,1.7767529939899156,0.9144924159109808,79,2871.0583333333334,79.00000000000001,79.0,79.0,0.0,"2024-25,2023-24,2022-23",27.556962025316455,5.69620253164557,4.544303797468355,1.1518987341772151,0.6455696202531646,4.050632911392405,0.395,0.837,3.151898734177215,0.08860759493670886
Jaden McDaniels,10,29,MIN,"SF,PF",115.9,0.9303601963433245,1.1418735734121865,1.5272714715280205,0.6931478502461592,0.210962338168263,1.3134726639288068,0.5589428724188276,82,2614.41,78.70000000000002,79.0,77.91222222222223,0.8777777777777778,"2024-25,2023-24,2022-23",12.195121951219512,5.7317073170731705,1.9878048780487805,1.3414634146341464,0.9024390243902439,1.2195121951219512,0.33,0.813,1.1585365853658536,0.12195121951219512
